318    0.0010190010070800781    0    0    b'Hello, world!'
319    0.0010371208190917969    0    0    b'Hello, world!'
320    0.0010259151458740234    0    0    b'Hello, world!'
321    0.0010340213775634766    0    0    b'Hello, world!'
322    0.00102996826171875    0    0    b'Hello, world!'
323    0.0010309219360351562    0    0    b'Hello, world!'
324    0.0010819435119628906    0    0    b'Hello, world!'
325    0.0010988712310791016    0    0    b'Hello, world!'
326    0.0011289119720458984    0    0    b'Hello, world!'
327    0.0011949539184570312    0    0    b'Hello, world!'
328    0.0011119842529296875    0    0    b'Hello, world!'
329    0.0010921955108642578    0    0    b'Hello, world!'
330    0.001093149185180664    0    0    b'Hello, world!'
331    0.0010750293731689453    0    0    b'Hello, world!'
332    0.0010590553283691406    0    0    b'Hello, world!'
333    0.0010609626770019531    0    0    b'Hello, world!'
334    0.0010838508605957031    0    0    b'Hello, world!'
335    0.0011281967163085938    0    0    b'Hello, world!'
336    0.001074075698852539    0    0    b'Hello, world!'
337    0.0010988712310791016    0    0    b'Hello, world!'
338    0.001129150390625    0    0    b'Hello, world!'
339    0.0011670589447021484    0    0    b'Hello, world!'
340    0.0011620521545410156    0    0    b'Hello, world!'
341    0.0012350082397460938    0    0    b'Hello, world!'
342    0.0011420249938964844    0    0    b'Hello, world!'
343    0.0012068748474121094    0    0    b'Hello, world!'
344    0.0012431144714355469    0    0    b'Hello, world!'
345    0.0011019706726074219    0    0    b'Hello, world!'
346    0.0010859966278076172    0    0    b'Hello, world!'
347    0.0010938644409179688    0    0    b'Hello, world!'
348    0.0010859966278076172    0    0    b'Hello, world!'
349    0.0010941028594970703    0    0    b'Hello, world!'
350    0.0010972023010253906    0    0    b'Hello, world!'
351    0.0011029243469238281    0    0    b'Hello, world!'
352    0.0010960102081298828    0    0    b'Hello, world!'
353    0.0011098384857177734    0    0    b'Hello, world!'
354    0.0011029243469238281    0    0    b'Hello, world!'
355    0.0011169910430908203    0    0    b'Hello, world!'
356    0.0012600421905517578    0    0    b'Hello, world!'
357    0.0012519359588623047    0    0    b'Hello, world!'
358    0.001230001449584961    0    0    b'Hello, world!'
359    0.0011980533599853516    0    0    b'Hello, world!'
360    0.0012400150299072266    0    0    b'Hello, world!'
361    0.0011928081512451172    0    0    b'Hello, world!'
362    0.001219034194946289    0    0    b'Hello, world!'
363    0.0012018680572509766    0    0    b'Hello, world!'
364    0.0012021064758300781    0    0    b'Hello, world!'
365    0.0011510848999023438    0    0    b'Hello, world!'
366    0.001130819320678711    0    0    b'Hello, world!'
367    0.0011410713195800781    0    0    b'Hello, world!'
368    0.001132965087890625    0    0    b'Hello, world!'
369    0.0011420249938964844    0    0    b'Hello, world!'
370    0.0011398792266845703    0    0    b'Hello, world!'
371    0.0011529922485351562    0    0    b'Hello, world!'
372    0.0011439323425292969    0    0    b'Hello, world!'
373    0.0011560916900634766    0    0    b'Hello, world!'
374    0.001146078109741211    0    0    b'Hello, world!'
375    0.0011820793151855469    0    0    b'Hello, world!'
376    0.0011641979217529297    0    0    b'Hello, world!'
377    0.0011708736419677734    0    0    b'Hello, world!'
378    0.0011799335479736328    0    0    b'Hello, world!'
379    0.0011680126190185547    0    0    b'Hello, world!'
380    0.0011680126190185547    0    0    b'Hello, world!'
381    0.0011720657348632812    0    0    b'Hello, world!'
382    0.0011749267578125    0    0    b'Hello, world!'
383    0.0011761188507080078    0    0    b'Hello, world!'
384    0.0012099742889404297    0    0    b'Hello, world!'
385    0.0011930465698242188    0    0    b'Hello, world!'
386    0.0011889934539794922    0    0    b'Hello, world!'
387    0.0011911392211914062    0    0    b'Hello, world!'
388    0.0011878013610839844    0    0    b'Hello, world!'
389    0.00733184814453125    0    0    b'Hello, world!'
390    0.002580881118774414    0    0    b'Hello, world!'
391    0.0016322135925292969    0    0    b'Hello, world!'
392    0.0013689994812011719    0    0    b'Hello, world!'
393    0.0012481212615966797    0    0    b'Hello, world!'
394    0.0012750625610351562    0    0    b'Hello, world!'
395    0.0011610984802246094    0    0    b'Hello, world!'
396    0.0012121200561523438    0    0    b'Hello, world!'
397    0.001271963119506836    0    0    b'Hello, world!'
398    0.001249074935913086    0    0    b'Hello, world!'
399    0.0012218952178955078    0    0    b'Hello, world!'
400    0.0012350082397460938    0    0    b'Hello, world!'
401    0.0012249946594238281    0    0    b'Hello, world!'
402    0.0012459754943847656    0    0    b'Hello, world!'
403    0.0014247894287109375    0    0    b'Hello, world!'
404    0.001316070556640625    0    0    b'Hello, world!'
405    0.0013270378112792969    0    0    b'Hello, world!'
406    0.0013527870178222656    0    0    b'Hello, world!'
407    0.0014028549194335938    0    0    b'Hello, world!'
408    0.0013060569763183594    0    0    b'Hello, world!'
409    0.00127410888671875    0    0    b'Hello, world!'
410    0.0013039112091064453    0    0    b'Hello, world!'
411    0.0013430118560791016    0    0    b'Hello, world!'
412    0.0012691020965576172    0    0    b'Hello, world!'
413    0.0012679100036621094    0    0    b'Hello, world!'
414    0.0012691020965576172    0    0    b'Hello, world!'
415    0.0012669563293457031    0    0    b'Hello, world!'
416    0.0012619495391845703    0    0    b'Hello, world!'
417    0.0012698173522949219    0    0    b'Hello, world!'
418    0.0012531280517578125    0    0    b'Hello, world!'
419    0.0012760162353515625    0    0    b'Hello, world!'
420    0.00127410888671875    0    0    b'Hello, world!'
421    0.0013020038604736328    0    0    b'Hello, world!'
422    0.0014209747314453125    0    0    b'Hello, world!'
423    0.0012950897216796875    0    0    b'Hello, world!'
424    0.0012831687927246094    0    0    b'Hello, world!'
425    0.001291036605834961    0    0    b'Hello, world!'
426    0.0012850761413574219    0    0    b'Hello, world!'
427    0.0013909339904785156    0    0    b'Hello, world!'
428    0.0013849735260009766    0    0    b'Hello, world!'
429    0.001302957534790039    0    0    b'Hello, world!'
430    0.001291036605834961    0    0    b'Hello, world!'
431    0.001293182373046875    0    0    b'Hello, world!'
432    0.0012938976287841797    0    0    b'Hello, world!'
433    0.0012979507446289062    0    0    b'Hello, world!'
434    0.0012989044189453125    0    0    b'Hello, world!'
435    0.0013210773468017578    0    0    b'Hello, world!'
436    0.001302957534790039    0    0    b'Hello, world!'
437    0.0013060569763183594    0    0    b'Hello, world!'
438    0.001371145248413086    0    0    b'Hello, world!'
439    0.0013589859008789062    0    0    b'Hello, world!'
440    0.0013270378112792969    0    0    b'Hello, world!'
441    0.0013251304626464844    0    0    b'Hello, world!'
442    0.0013318061828613281    0    0    b'Hello, world!'
443    0.0013248920440673828    0    0    b'Hello, world!'
444    0.0013251304626464844    0    0    b'Hello, world!'
445    0.0013339519500732422    0    0    b'Hello, world!'
446    0.0013298988342285156    0    0    b'Hello, world!'
447    0.0013358592987060547    0    0    b'Hello, world!'
448    0.0013320446014404297    0    0    b'Hello, world!'
449    0.0013480186462402344    0    0    b'Hello, world!'
450    0.0013358592987060547    0    0    b'Hello, world!'
451    0.0013439655303955078    0    0    b'Hello, world!'
452    0.0013439655303955078    0    0    b'Hello, world!'
453    0.0013511180877685547    0    0    b'Hello, world!'
454    0.0013930797576904297    0    0    b'Hello, world!'
455    0.001383066177368164    0    0    b'Hello, world!'
456    0.001374959945678711    0    0    b'Hello, world!'
457    0.0014019012451171875    0    0    b'Hello, world!'
458    0.0013589859008789062    0    0    b'Hello, world!'
459    0.00138092041015625    0    0    b'Hello, world!'
460    0.0013689994812011719    0    0    b'Hello, world!'
461    0.00138092041015625    0    0    b'Hello, world!'
462    0.0013701915740966797    0    0    b'Hello, world!'
463    0.001394033432006836    0    0    b'Hello, world!'
464    0.0014629364013671875    0    0    b'Hello, world!'
465    0.0014231204986572266    0    0    b'Hello, world!'
466    0.00146484375    0    0    b'Hello, world!'
467    0.0014219284057617188    0    0    b'Hello, world!'
468    0.0014650821685791016    0    0    b'Hello, world!'
469    0.0014500617980957031    0    0    b'Hello, world!'
470    0.001466989517211914    0    0    b'Hello, world!'
471    0.0014159679412841797    0    0    b'Hello, world!'
472    0.0014808177947998047    0    0    b'Hello, world!'
473    0.0014319419860839844    0    0    b'Hello, world!'
474    0.0014841556549072266    0    0    b'Hello, world!'
475    0.0014781951904296875    0    0    b'Hello, world!'
476    0.00144195556640625    0    0    b'Hello, world!'
477    0.0015218257904052734    0    0    b'Hello, world!'
478    0.0014939308166503906    0    0    b'Hello, world!'
479    0.0014531612396240234    0    0    b'Hello, world!'
480    0.0015001296997070312    0    0    b'Hello, world!'
481    0.001455068588256836    0    0    b'Hello, world!'
482    0.0015039443969726562    0    0    b'Hello, world!'
483    0.0014638900756835938    0    0    b'Hello, world!'
484    0.0015158653259277344    0    0    b'Hello, world!'
485    0.001486063003540039    0    0    b'Hello, world!'
486    0.0014650821685791016    0    0    b'Hello, world!'
487    0.001508951187133789    0    0    b'Hello, world!'
488    0.0014650821685791016    0    0    b'Hello, world!'
489    0.0015168190002441406    0    0    b'Hello, world!'
490    0.0014748573303222656    0    0    b'Hello, world!'
491    0.001528024673461914    0    0    b'Hello, world!'
492    0.0014719963073730469    0    0    b'Hello, world!'
